instruction,output,code,correct_name,question_type,disease_id,wrong_name
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P040 là bệnh Thai nhi và trẻ sơ sinh bị ảnh hưởng do thuốc gây mê, gây tê trong khi có thai, trong lúc chuyển dạ và trong khi đẻ.",Đúng,P040,"Thai nhi và trẻ sơ sinh bị ảnh hưởng do thuốc gây mê, gây tê trong khi có thai, trong lúc chuyển dạ và trong khi đẻ",correct_pairing,P040_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C740 là bệnh Chống chuyển hóa chống sinh u.",Sai,C740,U ác của vỏ tuyến thượng thận,incorrect_pairing,C740_0_no,Chống chuyển hóa chống sinh u
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A065 là bệnh Áp xe phổi do amíp (J99.8*).",Đúng,A065,Áp xe phổi do amíp (J99.8*),correct_pairing,A065_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B392 là bệnh Các dị tật bẩm sinh của tuyến thượng thận.",Sai,B392,"Nhiễm histoplasma capsulatum ở phổi, không đặc hiệu",incorrect_pairing,B392_0_no,Các dị tật bẩm sinh của tuyến thượng thận
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z652 là bệnh Rối loạn khác của hệ tuần hoàn trong bệnh phân loại nơi khác.",Sai,Z652,Vấn đề liên quan đến ra tù,incorrect_pairing,Z652_0_no,Rối loạn khác của hệ tuần hoàn trong bệnh phân loại nơi khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H408 là bệnh Di chứng tổn thương chưa xác định tại cổ và thân.",Sai,H408,Glocom khác,incorrect_pairing,H408_0_no,Di chứng tổn thương chưa xác định tại cổ và thân
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D179 là bệnh U mỡ lành tính không đặc hiệu.",Đúng,D179,U mỡ lành tính không đặc hiệu,correct_pairing,D179_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G06 là bệnh Áp xe và u hạt nội sọ và nội tủy.",Đúng,G06,Áp xe và u hạt nội sọ và nội tủy,correct_pairing,G06_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0730 là bệnh Bệnh viêm khớp vảy nến khác (L40.5†), Nhiều vị trí.",Đúng,M0730,"Bệnh viêm khớp vảy nến khác (L40.5†), Nhiều vị trí",correct_pairing,M0730_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0769 là bệnh Tổn thương do cóng lạnh với hoại tử mô tác động nhiều vùng cơ thể.",Sai,M0769,"Bệnh khớp trong bệnh đường ruột khác, vị trí không xác định",incorrect_pairing,M0769_0_no,Tổn thương do cóng lạnh với hoại tử mô tác động nhiều vùng cơ thể
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z624 là bệnh Bệnh tim do não mô cầu.",Sai,Z624,Thái độ thờ ơ với trẻ,incorrect_pairing,Z624_0_no,Bệnh tim do não mô cầu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T632 là bệnh Các bệnh khớp đặc hiệu khác.",Sai,T632,Nhiễm độc Nọc độc của bọ cạp,incorrect_pairing,T632_0_no,Các bệnh khớp đặc hiệu khác
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M111 là bệnh Suy tủy xương do thuốc.",Sai,M111,Bệnh vôi hóa sụn có tính chất gia đình,incorrect_pairing,M111_0_no,Suy tủy xương do thuốc
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P201 là bệnh Giảm oxy máu của thai nhi trong tử cung trong chuyển dạ và trong đẻ.",Đúng,P201,Giảm oxy máu của thai nhi trong tử cung trong chuyển dạ và trong đẻ,correct_pairing,P201_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B417 là bệnh Bỏng tại mi mắt và vùng quanh nhãn cầu.",Sai,B417,Nhiễm nấm paracoccidioides lan tỏa,incorrect_pairing,B417_0_no,Bỏng tại mi mắt và vùng quanh nhãn cầu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã J67 là bệnh Viêm phổi tăng cảm do bụi hữu cơ.",Đúng,J67,Viêm phổi tăng cảm do bụi hữu cơ,correct_pairing,J67_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã R94 là bệnh Nạn nhân chuyển động lớn của đất do động đất gây ra.",Sai,R94,Kết quả bất thường về thăm dò chức năng,incorrect_pairing,R94_0_no,Nạn nhân chuyển động lớn của đất do động đất gây ra
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F139 là bệnh Bại não loạn động.",Sai,F139,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Rối loạn tâm thần và hành vi không biệt định),incorrect_pairing,F139_0_no,Bại não loạn động
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D311 là bệnh U lành giác mạc.",Đúng,D311,U lành giác mạc,correct_pairing,D311_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z558 là bệnh Các vấn đề khác liên quan đến giáo dục và mù chữ.",Đúng,Z558,Các vấn đề khác liên quan đến giáo dục và mù chữ,correct_pairing,Z558_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S055 là bệnh Vết thương thấu nhãn cầu có dị vật.",Đúng,S055,Vết thương thấu nhãn cầu có dị vật,correct_pairing,S055_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M863 là bệnh U lành của thanh quản.",Sai,M863,Viêm xương tủy mãn tính nhiều ổ,incorrect_pairing,M863_0_no,U lành của thanh quản
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T816 là bệnh Phản ứng cấp tính do chất lạ vô ý để lại trong khi thủ thuật.",Đúng,T816,Phản ứng cấp tính do chất lạ vô ý để lại trong khi thủ thuật,correct_pairing,T816_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C675 là bệnh Viêm khớp dạng thấp huyết thanh âm tính.",Sai,C675,U ác của cổ bàng quang,incorrect_pairing,C675_0_no,Viêm khớp dạng thấp huyết thanh âm tính
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T952 là bệnh Các rối loạn xác định khác liên quan đến cơ chế miễn dịch, chưa được phân loại ở phần khác.",Sai,T952,"Di chứng bỏng, ăn mòn và tổn thương do cóng lạnh tại chi trên",incorrect_pairing,T952_0_no,"Các rối loạn xác định khác liên quan đến cơ chế miễn dịch, chưa được phân loại ở phần khác"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C45 là bệnh Bụi phổi bông.",Sai,C45,U trung biểu mô,incorrect_pairing,C45_0_no,Bụi phổi bông
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M3643 là bệnh Bệnh khớp trong phản ứng quá mẫn đã được xếp loại ở mục khác, cẳng tay.",Đúng,M3643,"Bệnh khớp trong phản ứng quá mẫn đã được xếp loại ở mục khác, cẳng tay",correct_pairing,M3643_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O25 là bệnh Lái xe mô tô bị thương khi va chạm với xe đạp.",Sai,O25,Thiếu dinh dưỡng khi có thai,incorrect_pairing,O25_0_no,Lái xe mô tô bị thương khi va chạm với xe đạp
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã V295 là bệnh Tổn thương do cóng lạnh chưa xác định tại chi dưới.",Sai,V295,Người ngồi xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông,incorrect_pairing,V295_0_no,Tổn thương do cóng lạnh chưa xác định tại chi dưới
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z365 là bệnh Rôm mụn nước.",Sai,Z365,Khám sàng lọc trước sinh về miễn dịch đồng loại,incorrect_pairing,Z365_0_no,Rôm mụn nước
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N979 là bệnh Nhiễm độc Strychnin và muối của nó.",Sai,N979,"Vô sinh nữ, không đặc hiệu",incorrect_pairing,N979_0_no,Nhiễm độc Strychnin và muối của nó
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N80 là bệnh Nhiễm sporotrichum ở phổi (J99.8*).",Sai,N80,Bệnh lạc nội mạc tử cung,incorrect_pairing,N80_0_no,Nhiễm sporotrichum ở phổi (J99.8*)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã J219 là bệnh Bỏng nơi khác và các nội tạng chưa xác định.",Sai,J219,"Viêm tiểu phế quản cấp, không phân loại",incorrect_pairing,J219_0_no,Bỏng nơi khác và các nội tạng chưa xác định
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O894 là bệnh Chảy máu trước đẻ, chưa xác định rõ.",Sai,O894,Đau đầu do gây tê tủy sống và ngoài màng cứng trong thời kỳ sau đẻ,incorrect_pairing,O894_0_no,"Chảy máu trước đẻ, chưa xác định rõ"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P809 là bệnh Hạ thân nhiệt không được định rõ của trẻ sơ sinh.",Đúng,P809,Hạ thân nhiệt không được định rõ của trẻ sơ sinh,correct_pairing,P809_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã E748 là bệnh Thiểu sản và loạn sản phổi.",Sai,E748,Rối loạn xác định khác của chuyển hóa carbohydrat,incorrect_pairing,E748_0_no,Thiểu sản và loạn sản phổi
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã R730 là bệnh Test dung nạp glucoza bất thường.",Đúng,R730,Test dung nạp glucoza bất thường,correct_pairing,R730_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F112 là bệnh Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Hội chứng nghiện).",Đúng,F112,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Hội chứng nghiện),correct_pairing,F112_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y583 là bệnh Vaccin dịch hạch.",Đúng,Y583,Vaccin dịch hạch,correct_pairing,Y583_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M0100 là bệnh Bệnh khớp trong các bệnh nội tiết, dinh dưỡng và các bệnh chuyển hóa khác, vùng bả vai.",Sai,M0100,"Viêm khớp do não mô cầu (A39.8†), nhiều vị trí",incorrect_pairing,M0100_0_no,"Bệnh khớp trong các bệnh nội tiết, dinh dưỡng và các bệnh chuyển hóa khác, vùng bả vai"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P15 là bệnh Sắp xếp lại cân bằng và dấu ấn cấu trúc, không đặc hiệu.",Sai,P15,Chấn thương khác khi sinh,incorrect_pairing,P15_0_no,"Sắp xếp lại cân bằng và dấu ấn cấu trúc, không đặc hiệu"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D683 là bệnh Hội chứng khô (Hội chứng Sjogren).",Sai,D683,Xuất huyết trong khi sử dụng dài ngày các chất chống đông máu,incorrect_pairing,D683_0_no,Hội chứng khô (Hội chứng Sjogren)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D63 là bệnh Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn loạn thần di chứng và khởi phát muộn).",Sai,D63,Thiếu máu trong các bệnh mãn tính đã được phân loại ở phần khác,incorrect_pairing,D63_0_no,Rối loạn tâm thần và hành vi do sử dụng rượu (Rối loạn loạn thần di chứng và khởi phát muộn)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O710 là bệnh Vỡ tử cung trước chuyển dạ.",Đúng,O710,Vỡ tử cung trước chuyển dạ,correct_pairing,O710_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z600 là bệnh Thực phẩm và nước đưa vào cơ thể không đủ do tự bỏ mặc (R63.6).",Sai,Z600,Vấn đề do điều chỉnh luân chuyển vòng đời,incorrect_pairing,Z600_0_no,Thực phẩm và nước đưa vào cơ thể không đủ do tự bỏ mặc (R63.6)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H62 là bệnh Bệnh tai ngoài trong bệnh phân loại nơi khác.",Đúng,H62,Bệnh tai ngoài trong bệnh phân loại nơi khác,correct_pairing,H62_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A96 là bệnh Sốt xuất huyết do Arenavirus.",Đúng,A96,Sốt xuất huyết do Arenavirus,correct_pairing,A96_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Q868 là bệnh Các dị tật bẩm sinh khác do các nguyên nhân bên ngoài đã biết.",Đúng,Q868,Các dị tật bẩm sinh khác do các nguyên nhân bên ngoài đã biết,correct_pairing,Q868_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H604 là bệnh Suy tủy xương một dòng hồng cầu mắc phải mãn tính.",Sai,H604,Cholesteoma của tai ngoài,incorrect_pairing,H604_0_no,Suy tủy xương một dòng hồng cầu mắc phải mãn tính
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Z59 là bệnh Thận lạc chỗ.",Sai,Z59,Những vấn đề liên quan đến nhà ở và hoàn cảnh kinh tế,incorrect_pairing,Z59_0_no,Thận lạc chỗ
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T565 là bệnh Nhiễm độc Kẽm và hợp chất của Kẽm.",Đúng,T565,Nhiễm độc Kẽm và hợp chất của Kẽm,correct_pairing,T565_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã N921 là bệnh Kinh nguyệt nhiều và hay xảy ra với chu kỳ không đều.",Đúng,N921,Kinh nguyệt nhiều và hay xảy ra với chu kỳ không đều,correct_pairing,N921_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã D233 là bệnh Nhiễm ký sinh trùng đường ruột không đặc hiệu.",Sai,D233,U lành ở da các phần không xác định khác của mặt,incorrect_pairing,D233_0_no,Nhiễm ký sinh trùng đường ruột không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Q391 là bệnh Teo thực quản có đường rò thực quản - khí quản.",Đúng,Q391,Teo thực quản có đường rò thực quản - khí quản,correct_pairing,Q391_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F604 là bệnh Viêm loét trực tràng chảy máu (mạn).",Sai,F604,Rối loạn nhân cách kịch tính,incorrect_pairing,F604_0_no,Viêm loét trực tràng chảy máu (mạn)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K260 là bệnh Loét tá tràng (Cấp có xuất huyết).",Đúng,K260,Loét tá tràng (Cấp có xuất huyết),correct_pairing,K260_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã Y543 là bệnh Dẫn xuất benzothladiazin.",Đúng,Y543,Dẫn xuất benzothladiazin,correct_pairing,Y543_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M768 là bệnh Các bệnh điểm bám gân - dây chằng khác ở chi dưới, không kể bàn chân.",Đúng,M768,"Các bệnh điểm bám gân - dây chằng khác ở chi dưới, không kể bàn chân",correct_pairing,M768_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T198 là bệnh Sai khớp của các phần không xác định của đầu.",Sai,T198,Dị vật nơi khác và nhiều phần của đường tiết niệu sinh dục,incorrect_pairing,T198_0_no,Sai khớp của các phần không xác định của đầu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã K75 là bệnh Bệnh đái tháo đường xác định khác (Có biến chứng không xác định khác).",Sai,K75,Bệnh viêm gan khác,incorrect_pairing,K75_0_no,Bệnh đái tháo đường xác định khác (Có biến chứng không xác định khác)
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S27 là bệnh Thay đổi vị trí của niệu quản.",Sai,S27,Tổn thương của các cơ quan không đặc hiệu và khác trong lồng ngực,incorrect_pairing,S27_0_no,Thay đổi vị trí của niệu quản
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T800 là bệnh Nghẽn mạch không khí sau tiêm truyền, truyền máu và tiêm thuốc.",Đúng,T800,"Nghẽn mạch không khí sau tiêm truyền, truyền máu và tiêm thuốc",correct_pairing,T800_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã X27 là bệnh Tiếp xúc với xúc vật có nọc độc khác, biết rõ đặc điểm.",Đúng,X27,"Tiếp xúc với xúc vật có nọc độc khác, biết rõ đặc điểm",correct_pairing,X27_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã E639 là bệnh Mày đay dị ứng.",Sai,E639,"Thiếu dinh dưỡng, không đặc hiệu",incorrect_pairing,E639_0_no,Mày đay dị ứng
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P15 là bệnh Chấn thương khác khi sinh.",Đúng,P15,Chấn thương khác khi sinh,correct_pairing,P15_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T70 là bệnh Tác động của áp lực không khí và áp lực nước.",Đúng,T70,Tác động của áp lực không khí và áp lực nước,correct_pairing,T70_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã B882 là bệnh Nhiễm ký sinh trùng do tiết túc khác.",Đúng,B882,Nhiễm ký sinh trùng do tiết túc khác,correct_pairing,B882_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã P558 là bệnh Bất thường khác của trứng.",Sai,P558,Bệnh huyết tán khác của thai và trẻ sơ sinh,incorrect_pairing,P558_0_no,Bất thường khác của trứng
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S224 là bệnh Gãy phức tạp xương sườn.",Đúng,S224,Gãy phức tạp xương sườn,correct_pairing,S224_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F901 là bệnh Phản ứng tương tác ABO.",Sai,F901,Rối loạn hành vi tăng động,incorrect_pairing,F901_0_no,Phản ứng tương tác ABO
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã V694 là bệnh Tổn thương nông khác tại háng và đùi.",Sai,V694,Lái xe bị thương khi va chạm với xe có động cơ khác không rõ đặc điểm trong tai nạn giao thông,incorrect_pairing,V694_0_no,Tổn thương nông khác tại háng và đùi
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã G379 là bệnh Bệnh mất myelin của hệ thần kinh trung ương, không đặc hiệu.",Đúng,G379,"Bệnh mất myelin của hệ thần kinh trung ương, không đặc hiệu",correct_pairing,G379_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã I446 là bệnh Sốc chấn thương.",Sai,I446,Blốc nhánh khác và không xác định,incorrect_pairing,I446_0_no,Sốc chấn thương
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã O651 là bệnh Chuyển dạ đình trệ do khung chậu hẹp toàn diện.",Đúng,O651,Chuyển dạ đình trệ do khung chậu hẹp toàn diện,correct_pairing,O651_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã F511 là bệnh Ngủ nhiều không thực tổn.",Đúng,F511,Ngủ nhiều không thực tổn,correct_pairing,F511_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C54 là bệnh Các dị tật thủy tinh thể bẩm sinh không đặc hiệu.",Sai,C54,U ác của thân tử cung,incorrect_pairing,C54_0_no,Các dị tật thủy tinh thể bẩm sinh không đặc hiệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã L080 là bệnh ?Tiền sử gia đình có các bệnh thuộc hệ sinh dục tiết niệu.",Sai,L080,Viêm da mủ,incorrect_pairing,L080_0_no,?Tiền sử gia đình có các bệnh thuộc hệ sinh dục tiết niệu
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T823 là bệnh Biến chứng cơ học của ghép huyết quản khác.",Đúng,T823,Biến chứng cơ học của ghép huyết quản khác,correct_pairing,T823_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã T845 là bệnh Gãy xương khác và phần chưa xác định cổ tay và bàn tay, gãy kín.",Sai,T845,Nhiễm trùng và phản ứng viêm do khớp nhân tạo bên trong,incorrect_pairing,T845_0_no,"Gãy xương khác và phần chưa xác định cổ tay và bàn tay, gãy kín"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M33 là bệnh Viêm da cơ.",Đúng,M33,Viêm da cơ,correct_pairing,M33_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã C84 là bệnh Các loại U lympho tế bào T/NK trưởng thành.",Đúng,C84,Các loại U lympho tế bào T/NK trưởng thành,correct_pairing,C84_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã U843 là bệnh Viêm khớp có hủy khớp (L40.5†), cẳng chân.",Sai,U843,Kháng (các) thuốc chống lao,incorrect_pairing,U843_0_no,"Viêm khớp có hủy khớp (L40.5†), cẳng chân"
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã S058 là bệnh Các tổn thương khác của mắt và ổ mắt.",Đúng,S058,Các tổn thương khác của mắt và ổ mắt,correct_pairing,S058_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã I718 là bệnh Phình động mạch chủ, vị trí không xác định, vỡ.",Đúng,I718,"Phình động mạch chủ, vị trí không xác định, vỡ",correct_pairing,I718_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã I279 là bệnh Bệnh tim do phổi, không đặc hiệu.",Đúng,I279,"Bệnh tim do phổi, không đặc hiệu",correct_pairing,I279_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H054 là bệnh Lõm mắt.",Đúng,H054,Lõm mắt,correct_pairing,H054_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã M182 là bệnh Thoái hóa khớp cổ bàn ngón cái sau chấn thương cả 2 bên.",Đúng,M182,Thoái hóa khớp cổ bàn ngón cái sau chấn thương cả 2 bên,correct_pairing,M182_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A393 là bệnh Nhiễm khuẩn huyết não mô cầu mãn tính.",Đúng,A393,Nhiễm khuẩn huyết não mô cầu mãn tính,correct_pairing,A393_0_yes,
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã A840 là bệnh Bệnh Coeliac.",Sai,A840,Viêm não Viễn Đông do ve truyền [viêm não xuân hè Nga],incorrect_pairing,A840_0_no,Bệnh Coeliac
"Dựa trên kiến thức y khoa, hãy xác minh thông tin sau là Đúng hay Sai: Mã H748 là bệnh Viêm tai giữa không nung mủ viêm tai giữa không mủ.",Sai,H748,Những rối loạn đặc hiệu khác của tai giữa và xương chũm,incorrect_pairing,H748_0_no,Viêm tai giữa không nung mủ viêm tai giữa không mủ
