sample_id,question,expected_answer,predicted_answer,raw_response,is_correct,score,status
39,"Trong bệnh xơ cứng bì hệ thống tiến triển, bệnh nhân có thể xuất hiện vùng calci hoá dưới da ở đầu ngón.",Đúng,Đúng,Đúng,True,1.0,✅
40,Triệu chứng của suy giảm miễn dịch nguyên phát bao gồm thời gian nhiễm trùng lâu hơn và điều trị khó khăn hơn so với người có hệ miễn dịch bình thường.,Đúng,Đúng,Đúng,True,1.0,✅
41,Tất cả các trường hợp bướu giáp độc đa nhân đều cần được phẫu thuật cắt bỏ toàn bộ tuyến giáp.,Sai,Sai,Sai,True,1.0,✅
42,Tổn thương dây thần kinh ngoại biên luôn được mã hóa bằng mã di chứng (G09) làm mã bệnh chính.,Sai,Sai,Sai,True,1.0,✅
43,Viêm khớp dạng thấp không có xu hướng ảnh hưởng đến khớp khuỷu tay và khớp vai.,Sai,Sai,Sai,True,1.0,✅
44,"Dị tật bẩm sinh (CBDs) là một gánh nặng toàn cầu, mặc dù tỷ lệ chung đang giảm.",Đúng,Đúng,Đúng,True,1.0,✅
45,"Mệt mỏi kéo dài chỉ là dấu hiệu của căng thẳng, không liên quan đến bệnh lý tim mạch.",Sai,Sai,Sai,True,1.0,✅
46,Mất ngủ không do nguyên nhân thực thể là một ví dụ về rối loạn giấc ngủ.,Đúng,Đúng,Đúng,True,1.0,✅
47,"Trong ung thư phổi, tiếng thở khò khè có thể do khối u phát triển bên trong lòng phế quản gây hẹp lòng ống.",Đúng,Đúng,Đúng,True,1.0,✅
48,Ung thư tuyến tiền liệt tiến triển có thể gây tiểu khó và tiểu nhiều lần về đêm.,Đúng,Đúng,Đúng,True,1.0,✅
49,Rung nhĩ có thể đi kèm với suy tim.,Đúng,Đúng,Đúng,True,1.0,✅
50,Ung thư dương vật thường liên quan đến nhiễm virus HPV type 16 và 18.,Đúng,Sai,Sai,False,0.0,❌
51,Ghẻ là một bệnh lý da liễu có triệu chứng ngứa nhiều nhất về đêm và có thể gây biến chứng nhiễm khuẩn thứ phát.,Đúng,Đúng,Đúng,True,1.0,✅
52,Khối u tuyến giáp thể không biệt hóa (loạn sản) thường phát triển chậm và có tiên lượng tốt.,Sai,Sai,Sai,True,1.0,✅
53,"Trong điều trị béo phì, khuyến cáo nên hạn chế ăn đồ ăn chứa chất béo bão hòa cho trẻ trên 2 tuổi.",Đúng,Đúng,Đúng,True,1.0,✅
54,Đau cơ xơ hóa đặc trưng bởi đau lan tỏa kéo dài ít nhất 3 tháng.,Đúng,Sai,Sai,False,0.0,❌
55,Viêm da cơ địa có thể gây ra rối loạn giấc ngủ và lão hóa da sớm do tổn thương da kéo dài và thói quen gãi cào.,Đúng,Đúng,Đúng,True,1.0,✅
56,"Trong trường hợp phì đại tuyến tiền liệt, NTTNDT ở nam giới (15-50 tuổi) thường được coi là không biến chứng.",Sai,Đúng,Đúng,False,0.0,❌
57,Duy trì cân nặng hợp lý là một trong những biện pháp phòng ngừa thoái hóa khớp tốt nhất.,Đúng,Đúng,Đúng,True,1.0,✅
58,"Đối với ung thư tuyến giáp biệt hóa, tuổi chẩn đoán dưới 40 tuổi thường có tiên lượng xấu hơn so với trên 40 tuổi.",Sai,Đúng,Đúng,False,0.0,❌
59,"Các rối loạn trầm cảm thường xảy ra ở giữa tuổi vị thành niên, 20 tuổi, hoặc 30 tuổi.",Đúng,Đúng,Đúng,True,1.0,✅
60,Việc điều trị trĩ ở phụ nữ sau sinh nên ưu tiên phẫu thuật ngay lập tức để tránh biến chứng.,Sai,Sai,Sai,True,1.0,✅
61,"Trong lupus ban đỏ hệ thống, các tổn thương ở cầu thận chỉ được phân loại là cục bộ khi chúng liên quan đến hơn 50% các cuộn mạch cầu thận.",Sai,Sai,Sai,True,1.0,✅
62,"Suy giảm miễn dịch nguyên phát là tình trạng hệ thống miễn dịch hoạt động quá mức, gây ra các bệnh dị ứng.",Sai,Sai,Sai,True,1.0,✅
63,"Các dị tật bẩm sinh liên quan đến cấu trúc của tim như cơ tim, van tim, buồng tim xuất hiện trong quá trình hình thành bào thai.",Đúng,Đúng,Đúng,True,1.0,✅
64,Mẫu nước tiểu được để ở nhiệt độ phòng > 2 giờ có thể mang lại kết quả đếm khuẩn lạc thấp giả tạo.,Sai,Đúng,Đúng,False,0.0,❌
65,Ung thư biểu mô tế bào vảy dương vật thường xuất phát ở lớp hạ bì của da dương vật.,Sai,Sai,Sai,True,1.0,✅
66,Các dị tật bẩm sinh ở tim là loại dị tật bẩm sinh có tỷ lệ mắc phải cao nhất ở trẻ.,Đúng,Sai,Sai,False,0.0,❌
67,"Đái tháo đường (ĐTĐ) tuýp 2 chủ yếu là do rối loạn tiết insulin, không liên quan đến tình trạng kháng insulin.",Sai,Sai,Sai,True,1.0,✅
68,Hút thuốc lá (chủ động và thụ động) làm tăng nguy cơ mắc bệnh viêm khớp dạng thấp.,Đúng,Đúng,Đúng,True,1.0,✅
69,Rối loạn tâm thần và hành vi nhẹ ở giai đoạn hậu sản được phân loại là rối loạn cảm xúc trầm cảm.,Sai,Sai,Sai,True,1.0,✅
70,"Vi khuẩn lao có khả năng tồn tại trong đờm, rác ẩm và tối trong nhiều tuần.",Đúng,Đúng,Đúng,True,1.0,✅
71,Cao huyết áp sau sinh được xác định là mạn tính nếu huyết áp không trở lại bình thường sau 12 tuần.,Đúng,Đúng,Đúng,True,1.0,✅
72,Rung nhĩ là một loại rối loạn nhịp tim thường gặp và có thể đi kèm với suy tim.,Đúng,Đúng,Đúng,True,1.0,✅
73,"Bệnh mô liên kết hỗn hợp hiếm khi gây ra mất thính lực, do đó không cần tầm soát biến chứng này.",Sai,Sai,Sai,True,1.0,✅
74,Các triệu chứng tê bì chân tay do thần kinh ngoại biên chỉ xuất hiện ở bệnh nhân ĐTĐ tuýp 1.,Sai,Sai,Sai,True,1.0,✅
75,"Trong mọi trường hợp, Sequelae (di chứng) của bệnh viêm hệ thần kinh trung ương (G09) phải được sử dụng làm mã bệnh chính (Main condition).",Sai,Sai,Sai,True,1.0,✅
76,Bệnh phổi tắc nghẽn mạn tính thường đi kèm với các bệnh lý khác như bệnh tim mạch và trào ngược dạ dày thực quản (GERD).,Đúng,Đúng,Đúng,True,1.0,✅
77,Lác (lé) là một trong những bệnh lý về mắt thường gặp ở trẻ em.,Đúng,Đúng,Đúng,True,1.0,✅
78,Phù gai thị (sưng phía sau mắt) là triệu chứng không liên quan đến biến chứng nội sọ của viêm xương chũm.,Sai,Sai,Sai,True,1.0,✅
79,Rối loạn phát âm rõ ràng có thể do quá trình phát triển ngôn ngữ chậm dẫn đến hệ thống âm vị trên não bộ phát triển chậm hơn.,Đúng,Đúng,Đúng,True,1.0,✅
80,Tình trạng viêm xương chũm cấp/mạn tính đều có thể gây ra liệt dây thần kinh vận động cơ mặt làm méo mặt.,Đúng,Đúng,Đúng,True,1.0,✅
81,"Hút thuốc lá làm giảm khả năng hoạt động của cơ vòng dưới thực quản, từ đó làm trầm trọng thêm trào ngược dạ dày thực quản (GERD).",Đúng,Đúng,Đúng,True,1.0,✅
82,Viêm gan nhiễm mỡ không do rượu (NASH) tiến triển có thể dẫn đến xơ hóa và xơ gan.,Đúng,Đúng,Đúng,True,1.0,✅
83,Bệnh bụi phổi amiăng có thể được xác định chỉ dựa vào dấu hiệu lâm sàng.,Sai,Sai,Sai,True,1.0,✅
84,Hút thuốc lá làm giảm khả năng hoạt động của cơ vòng dưới thực quản.,Đúng,Đúng,Đúng,True,1.0,✅
85,"Ngộ độc thủy ngân thường gây ra yếu cơ, khó nghe, và khó đi lại do tổn thương dây thần kinh ở mặt hoặc tay.",Đúng,Đúng,Đúng,True,1.0,✅
86,Rối loạn trầm cảm ở giai đoạn hậu sản được phân loại là rối loạn tâm thần và hành vi nhẹ liên quan đến thời kỳ hậu sản (F53.0).,Đúng,Đúng,Đúng,True,1.0,✅
87,"Phổi bên phải có ba thùy, trong khi phổi bên trái có hai thùy.",Đúng,Sai,Sai,False,0.0,❌
88,"Trong viêm da cơ địa, việc gãi ngứa không gây ra bất kỳ biến chứng nào ngoài da.",Sai,Sai,Sai,True,1.0,✅
89,"Đơn vị chức năng của phổi bao gồm các tiểu phế quản hô hấp, các ống phế nang, các túi và phế nang.",Đúng,Đúng,Đúng,True,1.0,✅
90,"Mụn trứng cá mủ (Pustular acne) hình thành qua ba giai đoạn: tắc nghẽn lỗ chân lông, tích tụ chất nhờn, và sau đó là viêm.",Đúng,Đúng,Đúng,True,1.0,✅
91,"Đột quỵ não có thể được sơ cứu bằng nguyên tắc FAST (Face, Arms, Speech, Time).",Đúng,Đúng,Đúng,True,1.0,✅
92,Trẻ mắc rối loạn phổ tự kỷ có tỷ lệ mắc động kinh khoảng 30%.,Đúng,Sai,Sai,False,0.0,❌
93,Cao huyết áp sau sinh thường là nguyên nhân thứ phát (do nguyên nhân khác).,Sai,Đúng,Đúng,False,0.0,❌
94,Tăng huyết áp không phải là yếu tố làm nặng thêm biến chứng tim mạch ở bệnh nhân đái tháo đường.,Sai,Sai,Sai,True,1.0,✅
95,"Bệnh tay-chân-miệng lây truyền chủ yếu theo đường tiêu hoá, nguồn lây chính từ nước bọt, phỏng nước và phân của trẻ nhiễm bệnh.",Đúng,Đúng,Đúng,True,1.0,✅
96,Viêm khớp dạng thấp ở giai đoạn sớm có xu hướng ảnh hưởng đến khớp khuỷu tay và khớp vai trước.,Sai,Sai,Sai,True,1.0,✅
97,NTTNDT hiếm xảy ra ở nam giới từ 15 đến 50 tuổi và luôn được xem là không biến chứng.,Sai,Sai,Sai,True,1.0,✅
98,Ngộ độc chì có thể gây ra khó nghe và khó nói.,Sai,Sai,Sai,True,1.0,✅
99,Đơn vị chức năng của phổi chỉ bao gồm các phân đoạn phế quản phổi và không bao gồm các tiểu phế quản hô hấp.,Sai,Sai,Sai,True,1.0,✅
100,"Phì đại tuyến tiền liệt tăng lên ở nam giới trên 50 tuổi, làm giảm tỷ lệ mắc NTTNDT giữa nam và nữ.",Đúng,Đúng,Đúng,True,1.0,✅
101,"Hệ tuần hoàn bao gồm ba thành phần chính: tim, mạch máu (động mạch, tĩnh mạch, mao mạch), và hệ tuần hoàn bạch huyết.",Đúng,Đúng,Đúng,True,1.0,✅
102,"Viêm gan virus B và C có con đường lây truyền tương tự như virus HIV, và có thể dẫn đến xơ gan và ung thư gan.",Đúng,Đúng,Đúng,True,1.0,✅
103,Việc chia nhỏ bữa ăn và tránh ăn quá nhiều trong một bữa không giúp kiểm soát các bệnh về đường tiêu hóa.,Sai,Sai,Sai,True,1.0,✅
104,Bệnh nhân rối loạn nhân cách không nên được chẩn đoán rối loạn tâm thần khác ngay cả khi có rối loạn đi kèm.,Sai,Đúng,Đúng,False,0.0,❌
105,Bệnh lý hô hấp chỉ xảy ra vào thời điểm giao mùa.,Sai,Sai,Sai,True,1.0,✅
106,Bệnh võng mạc do đái tháo đường là nguyên nhân hàng đầu gây suy giảm thị lực và mù lòa trên toàn thế giới.,Đúng,Đúng,Đúng,True,1.0,✅
107,Rối loạn trầm cảm dai dẳng là sự hợp nhất của rối loạn trầm cảm điển hình mạn tính và loạn khí sắc.,Đúng,Đúng,Đúng,True,1.0,✅
108,"Ngộ độc thủy ngân không ảnh hưởng đến thị lực, mà chỉ gây tổn thương dây thần kinh thính giác và vận động.",Sai,Sai,Sai,True,1.0,✅
109,Bệnh võng mạc do ĐTĐ là một biến chứng mạch máu lớn.,Sai,Sai,Sai,True,1.0,✅
110,"Đường hô hấp dưới bao gồm mũi, họng, xoang và thanh quản.",Sai,Đúng,Đúng,False,0.0,❌
111,Cơn đau thắt ngực (Angina) thường kéo dài hơn 60 phút.,Sai,Sai,Sai,True,1.0,✅
112,"Trong cơn bão giáp, rối loạn thần kinh trung ương (như mê sảng, hôn mê) là một tiêu chí để đánh giá mức độ nặng.",Đúng,Sai,Sai,False,0.0,❌
113,Phù gai thị (sưng phía sau mắt) là dấu hiệu cảnh báo cần được quan tâm đặc biệt trong chẩn đoán đau nhiều khớp.,Đúng,Đúng,Đúng,True,1.0,✅
114,Đau cơ xơ hóa được chẩn đoán bắt buộc dựa trên biểu hiện đau ở 18 vị trí đau đặc hiệu.,Sai,Sai,Sai,True,1.0,✅
115,Các triệu chứng viêm đường hô hấp trên thường rất nghiêm trọng và dễ để lại biến chứng nguy hiểm.,Sai,Đúng,Đúng,False,0.0,❌
116,Các rối loạn hậu thủ thuật của hệ thần kinh không bao gồm các rối loạn ở tai và xương chũm.,Sai,Sai,Sai,True,1.0,✅
117,"Vị trí thường gặp của ghẻ là lòng bàn tay, kẽ ngón tay, cổ tay, và vùng sinh dục.",Đúng,Đúng,Đúng,True,1.0,✅
118,"Trong hội chứng Marfan, các bất thường về mắt bao gồm tăng chiều dài trục nhãn cầu (gây cận thị).",Đúng,Đúng,Đúng,True,1.0,✅
119,Bệnh võng mạc do ĐTĐ là một bệnh lý mắt không liên quan đến rối loạn viêm nhiễm.,Sai,Sai,Sai,True,1.0,✅
120,Lymphoma được xác định là khối u ác tính nguyên phát tại não có thể được coi là biến chứng của bệnh HIV.,Đúng,Đúng,Đúng,True,1.0,✅
121,Ghẻ có thời gian ủ bệnh thường 10-15 ngày và tổn thương cơ bản là luống ghẻ và mụn nước.,Đúng,Đúng,Đúng,True,1.0,✅
122,Co giật không kiểm soát là một yếu tố tiên lượng nặng đối với trẻ sơ sinh bị bệnh não thiếu oxy thiếu máu cục bộ (HIE).,Đúng,Đúng,Đúng,True,1.0,✅
123,Viêm cầu thận cấp là biến chứng không liên quan đến chốc loét.,Sai,Sai,Sai,True,1.0,✅
124,Các rối loạn tuyến giáp không có khả năng gây ảnh hưởng đến thị lực.,Sai,Sai,Sai,True,1.0,✅
125,"Ngộ độc chì có thể gây ra các triệu chứng như huyết áp cao, đau đầu và mất trí nhớ.",Đúng,Sai,Sai,False,0.0,❌
126,"Rối loạn trầm cảm và lo âu có thể được điều trị hiệu quả bằng liệu pháp phân tâm học, có thể kéo dài ít nhất 1 năm.",Đúng,Đúng,Đúng,True,1.0,✅
127,Bệnh thận mạn tính (Chronic kidney disease) không bao giờ là biến chứng của bệnh đái tháo đường.,Sai,Sai,Sai,True,1.0,✅
128,"Để điều trị béo phì, phẫu thuật nối shunt hỗng tràng dạ dày là phương pháp điều trị đầu tiên được ưu tiên áp dụng.",Sai,Đúng,Đúng,False,0.0,❌
129,"Ở trẻ em, các tổn thương ghẻ có thể gặp ở chân, đầu và mặt.",Đúng,Đúng,Đúng,True,1.0,✅
130,Ho kéo dài hơn 8 tuần trong viêm phế quản là một dấu hiệu cần đi khám bác sĩ.,Đúng,Đúng,Đúng,True,1.0,✅
131,Kim loại nặng như Chì nổi tiếng trong việc gây ra tăng huyết áp (huyết áp cao).,Đúng,Sai,Sai,False,0.0,❌
132,Nghe kém tiếp nhận sau viêm màng não mủ có thể ở mức độ nặng sâu cả hai tai.,Đúng,Đúng,Đúng,True,1.0,✅
133,"Ở trẻ mắc hội chứng Down, không cần sàng lọc béo phì vì chúng không liên quan.",Sai,Sai,Sai,True,1.0,✅
134,Rối loạn đông máu di truyền yếu tố IX (D67) là nguyên nhân hàng đầu gây nhập viện trong nhóm rối loạn đông máu.,Sai,Đúng,Đúng,False,0.0,❌
135,Viêm xương chũm cấp hay mạn tính đều có thể gây ra nhiều biến chứng nguy hiểm như áp-xe não và viêm màng não.,Đúng,Đúng,Đúng,True,1.0,✅
136,Bệnh lý lồi mắt trong bệnh cường giáp (Graves’ Ophthalmopathy) là bệnh mắt liên quan đến cơ chế rối loạn điều hòa miễn dịch.,Đúng,Đúng,Đúng,True,1.0,✅
137,Mang thai ở độ tuổi vị thành niên không liên quan đến nguy cơ kết quả thai kỳ bất lợi.,Sai,Sai,Sai,True,1.0,✅
138,"Ở phụ nữ sau mãn kinh, viêm bàng quang thường được coi là nhiễm trùng tiết niệu phức tạp.",Đúng,Đúng,Đúng,True,1.0,✅
139,"Ho ra máu là triệu chứng quan trọng của bệnh lao phổi, thể hiện có tổn thương và chảy máu trong đường hô hấp.",Đúng,Đúng,Đúng,True,1.0,✅
140,Hút thuốc lá là nguyên nhân chính gây ra dị ứng và viêm đường hô hấp trên.,Sai,Đúng,Đúng,False,0.0,❌
141,"Viêm xương chũm cấp tính có triệu chứng đau sâu trong tai, đau theo nhịp mạch đập.",Đúng,Đúng,Đúng,True,1.0,✅
142,Chấn thương khớp ở người trẻ tuổi có thể làm tăng nguy cơ phát triển thoái hóa khớp khi về già.,Đúng,Đúng,Đúng,True,1.0,✅
143,Ung thư phổi có tỷ lệ tử vong thấp hơn ung thư tuyến tiền liệt.,Sai,Sai,Sai,True,1.0,✅
144,Trầm cảm nặng có ý nghĩ tự sát hoặc hoang tưởng có thể được điều trị bằng liệu pháp sốc điện (ECT) nếu thuốc không hiệu quả.,Đúng,Đúng,Đúng,True,1.0,✅
145,Bất kỳ nguyên nhân nào gây tắc nghẽn đường tiết niệu (ví dụ: ung thư tuyến tiền liệt) đều là yếu tố nguy cơ của NTTNDT.,Đúng,Đúng,Đúng,True,1.0,✅
146,Viêm khớp dạng thấp (RA) có đặc trưng là cứng khớp buổi sáng kéo dài trên 1 giờ.,Đúng,Sai,Sai,False,0.0,❌
147,"Tê bì chân tay, cảm giác châm chích, kiến bò thường gặp nhất ở chân, lan dần từ ngón chân đến bàn chân và lên cẳng chân.",Đúng,Đúng,Đúng,True,1.0,✅
148,Tổn thương da và rối loạn thị giác có thể là dấu hiệu điển hình của khối u đỉnh phổi (ung thư phổi).,Đúng,Sai,Sai,False,0.0,❌
149,"Ngưng tim là tình trạng tim ngừng đập đột ngột, có thể dẫn đến tử vong trong thời gian ngắn mà không có tín hiệu báo trước.",Đúng,Đúng,Đúng,True,1.0,✅
150,Sản dịch bình thường có mủ và mùi hôi.,Sai,Đúng,Đúng,False,0.0,❌
151,Viêm thị thần kinh chỉ xảy ra ở người già và không liên quan đến bệnh Đa xơ cứng.,Sai,Sai,Sai,True,1.0,✅
152,Tiên lượng sống sót sau 5 năm với người mắc ung thư phổi giai đoạn cuối là trên 50%.,Sai,Đúng,Đúng,False,0.0,❌
153,"Ung thư đại tràng thường gây đi tiêu ra máu tươi, dễ nhầm với nứt hậu môn.",Sai,Sai,Sai,True,1.0,✅
154,"Giãn phế nang (Emphysema) là một thể của COPD, do tăng tiết chất nhầy quá mức làm tắc nghẽn đường thở.",Sai,Đúng,Đúng,False,0.0,❌
155,Các hạch bạch huyết (lymph nodes) nằm trong danh sách các vị trí di căn phổ biến đối với u tân sinh ác tính.,Đúng,Đúng,Đúng,True,1.0,✅
156,Nguy cơ mắc Mụn trứng cá đỏ cao hơn ở nam giới trên 30 tuổi.,Đúng,Đúng,Đúng,True,1.0,✅
157,Bệnh bụi phổi silic mãn tính thường xảy ra sau khoảng thời gian dài từ 10 - 30 năm tiếp xúc trực tiếp với bụi silic ở nồng độ thấp.,Đúng,Đúng,Đúng,True,1.0,✅
158,Nứt đốt sống là dị tật liên quan đến những khiếm khuyết của ống thần kinh.,Đúng,Đúng,Đúng,True,1.0,✅
159,Hút thuốc lá không làm giảm khả năng hoạt động của cơ vòng dưới thực quản.,Sai,Sai,Sai,True,1.0,✅
160,Tăng huyết áp hậu sản chỉ là vô căn (không rõ nguyên nhân) và không gây biến chứng nguy hiểm.,Sai,Đúng,Đúng,False,0.0,❌
161,"Đau ngực trong cơn nhồi máu cơ tim có thể lan tỏa đến cánh tay, cổ, hàm và lưng.",Đúng,Đúng,Đúng,True,1.0,✅
162,Vô sinh nam (N46) hoặc vô sinh nữ (N97.-) có thể được sử dụng làm mã bệnh chính (main condition) ngay cả khi nguyên nhân cơ bản của vô sinh đã được xác định.,Sai,Sai,Sai,True,1.0,✅
163,"Trong trường hợp phá thai lén có tai biến nên nhập viện, mã bệnh chính là mã cho mục đích quản lý tránh thai (Z30).",Sai,Đúng,Đúng,False,0.0,❌
164,"Liệu pháp sốc điện (ECT) chỉ có tác dụng đối với các triệu chứng tiêu cực của trầm cảm, không áp dụng cho trầm cảm có hoang tưởng.",Sai,Sai,Sai,True,1.0,✅
165,Hội chứng tự kỷ trẻ em là một dạng rối loạn sự phát triển lan tỏa.,Đúng,Đúng,Đúng,True,1.0,✅
166,Ho ra máu là triệu chứng hiếm gặp và không quan trọng trong chẩn đoán bệnh lao phổi.,Sai,Sai,Sai,True,1.0,✅
167,Bệnh nhân suy giảm miễn dịch cần phải được điều trị nhiễm trùng đường tiết niệu không có triệu chứng.,Đúng,Sai,Sai,False,0.0,❌
168,"Để phòng ngừa rối loạn nội tiết tố, nên tập thể dục quá sức để tăng cường sự trao đổi chất trong cơ thể.",Sai,Sai,Sai,True,1.0,✅
169,"Lao phổi là một trong những bệnh viêm đường hô hấp dưới, có mức độ nghiêm trọng cao.",Đúng,Đúng,Đúng,True,1.0,✅
170,Bệnh võng mạc do đái tháo đường là một ví dụ về bệnh mắt được mã hóa bằng mã đơn (Single code) vì nguyên nhân đã được xác định.,Sai,Sai,Sai,True,1.0,✅
171,Bệnh viêm màng não là một trong các bệnh lý viêm hệ thần kinh.,Đúng,Đúng,Đúng,True,1.0,✅
172,"Trong thời kỳ hậu sản, các bệnh lý như trĩ và táo bón thường có thể xuất hiện.",Đúng,Đúng,Đúng,True,1.0,✅
173,Ung thư phổi không tế bào nhỏ phát triển nhanh hơn ung thư phổi tế bào nhỏ.,Sai,Sai,Sai,True,1.0,✅
174,Trẻ mắc suy giảm miễn dịch nguyên phát thường có thời gian nhiễm trùng lâu hơn và điều trị khó khăn hơn so với trẻ bình thường.,Đúng,Đúng,Đúng,True,1.0,✅
